,qwoa_1_2,qwoa_2_2,qwoa_3_3,qwoa_4_2,qwoa_5_1,qwoa_6_1,qwoa_7_3,qwoa_8_2,qwoa_9_2,qwoa_10_1
109,0.153846154,0.402627867,0.353226566,0.140061135,0.38010387,0.466502943,0.866104251,0.909997177,0.919551767,0.95980083
111,0.153846154,0.042140956,0.022093545,0.24944121,0.377923003,0.383133648,0.062975055,0.07952557,0.07429362,0.035419774
112,0.076923077,0.057213247,0.166795159,0.241737832,0.026714539,0.011287497,0.046525182,0.004904352,0.000628804,0.001754422
120,0.076923077,0.021423952,0.061514662,0.13940283,0.014691625,0.003378599,0.003782896,0.000258442,0.000253341,0.000225093
122,0.076923077,0.201053303,0.121084407,0.025616818,0.049369679,0.068464051,0.013440916,0.002604476,0.002963275,0.000913212
124,0.076923077,0.012292265,0.028272909,0.077742653,0.055247471,0.035096685,0.003027657,0.001017566,0.000615004,0.001202943
130,0.076923077,0.205562531,0.22652132,0.068913523,0.0782292,0.023142117,0.000726813,0.001285928,0.001342796,0.000411326
132,0.153846154,0.029522253,0.007681949,0.028933178,0.017524724,0.007397065,0.002384244,0.000195512,0.000176486,0.000128907
145,0.076923077,0.017153789,0.010332544,0.027913236,8.13E-05,0.001494518,0.001002696,0.000208228,0.000174124,0.000127913
153,0.076923077,0.011009836,0.002476938,0.000237584,0.000114614,0.000102877,3.03E-05,2.75E-06,7.82E-07,1.56E-05
